month,product_group_id,product_group_name,market_revenue,revenue_amazon
2025-01-01,1,Portable Computers,14405251072.0,3155183872.0
2025-02-01,1,Portable Computers,11058939904.0,3300651008.0
2025-03-01,1,Portable Computers,14058317824.0,3273618944.0
2025-04-01,1,Portable Computers,10095037440.0,2836427264.0
2025-05-01,1,Portable Computers,13618578432.0,3461515008.0
2025-06-01,1,Portable Computers,13154662400.0,3157317888.0
2025-07-01,1,Portable Computers,13502133248.0,3275567872.0
2025-08-01,1,Portable Computers,13194741760.0,3251604992.0
2025-09-01,1,Portable Computers,11931823104.0,2977740544.0
2025-10-01,1,Portable Computers,12372856832.0,3023802624.0
2025-11-01,1,Portable Computers,13457805312.0,3174886144.0
2025-12-01,1,Portable Computers,11126452224.0,2835000832.0
2025-01-01,2,Cooling Systems,5318640640.0,434099552.0
2025-02-01,2,Cooling Systems,6335571968.0,491344288.0
2025-03-01,2,Cooling Systems,5823582208.0,600979520.0
2025-04-01,2,Cooling Systems,6034243584.0,619777152.0
2025-05-01,2,Cooling Systems,6729206784.0,637886592.0
2025-06-01,2,Cooling Systems,6272622080.0,604889152.0
2025-07-01,2,Cooling Systems,5994415616.0,585603456.0
2025-08-01,2,Cooling Systems,5606507008.0,612312576.0
2025-09-01,2,Cooling Systems,6366711296.0,564100928.0
2025-10-01,2,Cooling Systems,5669342208.0,586363648.0
2025-11-01,2,Cooling Systems,5997775872.0,603131264.0
2025-12-01,2,Cooling Systems,6693684224.0,538327808.0
2025-01-01,3,Frozen Storage Units,1690252160.0,151158400.0
2025-02-01,3,Frozen Storage Units,1600822528.0,149420528.0
2025-03-01,3,Frozen Storage Units,1797258368.0,154049312.0
2025-04-01,3,Frozen Storage Units,1709280896.0,152040304.0
2025-05-01,3,Frozen Storage Units,1872068096.0,161304400.0
2025-06-01,3,Frozen Storage Units,1746781056.0,167222416.0
2025-07-01,3,Frozen Storage Units,1645971200.0,168420976.0
2025-08-01,3,Frozen Storage Units,1578355712.0,169009056.0
2025-09-01,3,Frozen Storage Units,1553903616.0,164965552.0
2025-10-01,3,Frozen Storage Units,1485497856.0,141950368.0
2025-11-01,3,Frozen Storage Units,1583993088.0,133392096.0
2025-12-01,3,Frozen Storage Units,1569452416.0,135873632.0
2025-01-01,4,Laundry Machines,5545172480.0,532667616.0
2025-02-01,4,Laundry Machines,6534540800.0,561253760.0
2025-03-01,4,Laundry Machines,7182495232.0,626864896.0
2025-04-01,4,Laundry Machines,7432172032.0,539981824.0
2025-05-01,4,Laundry Machines,7719275008.0,615593664.0
2025-06-01,4,Laundry Machines,6911025152.0,593957312.0
2025-07-01,4,Laundry Machines,6949643776.0,496922368.0
2025-08-01,4,Laundry Machines,6907917824.0,552642432.0
2025-09-01,4,Laundry Machines,6434077696.0,615970176.0
2025-10-01,4,Laundry Machines,6960305664.0,506069280.0
2025-11-01,4,Laundry Machines,7529621504.0,547067648.0
2025-12-01,4,Laundry Machines,7290358784.0,528756896.0
2025-01-01,5,Dish Cleaning Machines,1545913472.0,215483440.0
2025-02-01,5,Dish Cleaning Machines,1212593792.0,187504320.0
2025-03-01,5,Dish Cleaning Machines,1754549376.0,209745184.0
2025-04-01,5,Dish Cleaning Machines,1534325248.0,218387936.0
2025-05-01,5,Dish Cleaning Machines,1576726144.0,195931424.0
2025-06-01,5,Dish Cleaning Machines,1426765696.0,190851392.0
2025-07-01,5,Dish Cleaning Machines,1448048640.0,195355104.0
2025-08-01,5,Dish Cleaning Machines,1550658304.0,216487152.0
2025-09-01,5,Dish Cleaning Machines,1441639552.0,180474800.0
2025-10-01,5,Dish Cleaning Machines,1551698176.0,184378208.0
2025-11-01,5,Dish Cleaning Machines,1556109568.0,187326640.0
2025-12-01,5,Dish Cleaning Machines,1523533952.0,185967264.0
2025-01-01,6,Microwave Cookers,1634350592.0,239342368.0
2025-02-01,6,Microwave Cookers,1700543232.0,232562144.0
2025-03-01,6,Microwave Cookers,1706709504.0,221036320.0
2025-04-01,6,Microwave Cookers,1596696192.0,234184992.0
2025-05-01,6,Microwave Cookers,1678424832.0,225660768.0
2025-06-01,6,Microwave Cookers,1499524864.0,210782880.0
2025-07-01,6,Microwave Cookers,1469847168.0,171660816.0
2025-08-01,6,Microwave Cookers,1437640704.0,200596512.0
2025-09-01,6,Microwave Cookers,1341508608.0,191959392.0
2025-10-01,6,Microwave Cookers,1244854656.0,176310480.0
2025-11-01,6,Microwave Cookers,1312724480.0,175438080.0
2025-12-01,6,Microwave Cookers,1296608000.0,216846704.0
2025-01-01,7,Kitchen Ventilation Systems,1000000000.0,111504720.0
2025-02-01,7,Kitchen Ventilation Systems,1000000000.0,110887552.0
2025-03-01,7,Kitchen Ventilation Systems,1000000000.0,110329848.0
2025-04-01,7,Kitchen Ventilation Systems,1000000000.0,111309352.0
2025-05-01,7,Kitchen Ventilation Systems,1000000000.0,110664768.0
2025-06-01,7,Kitchen Ventilation Systems,1000000000.0,108434064.0
2025-07-01,7,Kitchen Ventilation Systems,1000000000.0,103829168.0
2025-08-01,7,Kitchen Ventilation Systems,1000000000.0,105677120.0
