month,product_group_id,product_group_name,market_revenue,revenue_amazon
2024-01-01,1,Portable Computers,15118085120.0,3452923392.0
2024-02-01,1,Portable Computers,14127896576.0,3076272128.0
2024-03-01,1,Portable Computers,14411794432.0,3703470080.0
2024-04-01,1,Portable Computers,12443184128.0,3206057216.0
2024-05-01,1,Portable Computers,13216388096.0,3709193984.0
2024-06-01,1,Portable Computers,10490708992.0,2847972608.0
2024-07-01,1,Portable Computers,12982704128.0,3654632960.0
2024-08-01,1,Portable Computers,12355784704.0,3196093952.0
2024-09-01,1,Portable Computers,12286453760.0,3122987776.0
2024-10-01,1,Portable Computers,12384825344.0,3116763904.0
2024-11-01,1,Portable Computers,13011826688.0,3123434240.0
2024-12-01,1,Portable Computers,11215725568.0,2969699584.0
2024-01-01,2,Cooling Systems,5455955456.0,549133888.0
2024-02-01,2,Cooling Systems,6222589440.0,576268032.0
2024-03-01,2,Cooling Systems,6389776384.0,539156352.0
2024-04-01,2,Cooling Systems,6836753408.0,518700576.0
2024-05-01,2,Cooling Systems,6960299520.0,482607552.0
2024-06-01,2,Cooling Systems,6691973120.0,477284064.0
2024-07-01,2,Cooling Systems,5545068544.0,460704704.0
2024-08-01,2,Cooling Systems,6578410496.0,545357440.0
2024-09-01,2,Cooling Systems,6033158144.0,518778304.0
2024-10-01,2,Cooling Systems,6145531392.0,481489760.0
2024-11-01,2,Cooling Systems,6401030656.0,516444448.0
2024-12-01,2,Cooling Systems,6452122112.0,503643904.0
2024-01-01,3,Frozen Storage Units,1437179776.0,155928336.0
2024-02-01,3,Frozen Storage Units,1241369472.0,146371696.0
2024-03-01,3,Frozen Storage Units,1283024896.0,160708496.0
2024-04-01,3,Frozen Storage Units,1408268800.0,180903040.0
2024-05-01,3,Frozen Storage Units,1542190080.0,177627728.0
2024-06-01,3,Frozen Storage Units,1636255488.0,162757936.0
2024-07-01,3,Frozen Storage Units,1690871424.0,177084784.0
2024-08-01,3,Frozen Storage Units,1643927040.0,180223008.0
2024-09-01,3,Frozen Storage Units,1583045760.0,181269440.0
2024-10-01,3,Frozen Storage Units,1425250048.0,148373840.0
2024-11-01,3,Frozen Storage Units,1359450240.0,151609200.0
2024-12-01,3,Frozen Storage Units,1442117888.0,152368688.0
2024-01-01,4,Laundry Machines,7300909568.0,534833824.0
2024-02-01,4,Laundry Machines,5700575232.0,544588224.0
2024-03-01,4,Laundry Machines,7929406464.0,647103424.0
2024-04-01,4,Laundry Machines,8087248384.0,552384448.0
2024-05-01,4,Laundry Machines,8110182912.0,669801408.0
2024-06-01,4,Laundry Machines,8054661632.0,707261184.0
2024-07-01,4,Laundry Machines,6774876160.0,552772352.0
2024-08-01,4,Laundry Machines,7444897280.0,730857664.0
2024-09-01,4,Laundry Machines,7854854144.0,736333120.0
2024-10-01,4,Laundry Machines,7360865280.0,574124288.0
2024-11-01,4,Laundry Machines,5872940032.0,532050848.0
2024-12-01,4,Laundry Machines,6397394432.0,533117312.0
2024-01-01,5,Dish Cleaning Machines,1654240384.0,225316224.0
2024-02-01,5,Dish Cleaning Machines,1631888000.0,242635360.0
2024-03-01,5,Dish Cleaning Machines,1589068928.0,223671424.0
2024-04-01,5,Dish Cleaning Machines,1566628992.0,217015200.0
2024-05-01,5,Dish Cleaning Machines,1641293824.0,236733360.0
2024-06-01,5,Dish Cleaning Machines,1638822528.0,256391280.0
2024-07-01,5,Dish Cleaning Machines,1575473152.0,246676208.0
2024-08-01,5,Dish Cleaning Machines,1712976896.0,248161392.0
2024-09-01,5,Dish Cleaning Machines,1660931840.0,220587056.0
2024-10-01,5,Dish Cleaning Machines,1549274880.0,227830048.0
2024-11-01,5,Dish Cleaning Machines,1476163456.0,211486720.0
2024-12-01,5,Dish Cleaning Machines,1429213568.0,195107488.0
2024-01-01,6,Microwave Cookers,1416670336.0,186975552.0
2024-02-01,6,Microwave Cookers,1511641856.0,194113888.0
2024-03-01,6,Microwave Cookers,1488335616.0,208036640.0
2024-04-01,6,Microwave Cookers,1401349888.0,191446384.0
2024-05-01,6,Microwave Cookers,1526269568.0,207680000.0
2024-06-01,6,Microwave Cookers,1521712128.0,205053280.0
2024-07-01,6,Microwave Cookers,1485423104.0,203725904.0
2024-08-01,6,Microwave Cookers,1673241088.0,220579952.0
2024-09-01,6,Microwave Cookers,1324305408.0,198144688.0
2024-10-01,6,Microwave Cookers,1495496832.0,201299120.0
2024-11-01,6,Microwave Cookers,1625588224.0,200297088.0
2024-12-01,6,Microwave Cookers,1716193024.0,202303824.0
2024-01-01,7,Kitchen Ventilation Systems,1000000000.0,108535640.0
2024-02-01,7,Kitchen Ventilation Systems,1000000000.0,110555496.0
2024-03-01,7,Kitchen Ventilation Systems,1000000000.0,114916040.0
2024-04-01,7,Kitchen Ventilation Systems,1000000000.0,111398136.0
2024-05-01,7,Kitchen Ventilation Systems,1000000000.0,122433224.0
2024-06-01,7,Kitchen Ventilation Systems,1000000000.0,115035360.0
2024-07-01,7,Kitchen Ventilation Systems,1000000000.0,103380312.0
2024-08-01,7,Kitchen Ventilation Systems,1000000000.0,113327776.0
2024-09-01,7,Kitchen Ventilation Systems,1000000000.0,112258008.0
2024-10-01,7,Kitchen Ventilation Systems,1000000000.0,113437488.0
2024-11-01,7,Kitchen Ventilation Systems,1000000000.0,110219872.0
2024-12-01,7,Kitchen Ventilation Systems,1000000000.0,107273520.0
2024-01-01,8,Integrated Stovetops,1294993920.0,151924864.0
2024-02-01,8,Integrated Stovetops,1784412160.0,188340064.0
2024-03-01,8,Integrated Stovetops,1769273216.0,164434352.0
2024-04-01,8,Integrated Stovetops,1569460608.0,132751944.0
2024-05-01,8,Integrated Stovetops,1702146944.0,151046048.0
2024-06-01,8,Integrated Stovetops,1127046784.0,132593144.0
2024-07-01,8,Integrated Stovetops,1504260992.0,125517200.0
2024-08-01,8,Integrated Stovetops,1498857088.0,140134848.0
2024-09-01,8,Integrated Stovetops,1616866944.0,144974800.0
2024-10-01,8,Integrated Stovetops,1524772352.0,136168848.0
2024-11-01,8,Integrated Stovetops,1478784128.0,143784848.0
2024-12-01,8,Integrated Stovetops,1462212480.0,141942448.0
